,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4243,58,4185,807,3378,5306,62,5244,886,4358,509,15,494,149,345,3864,40,3824,644,3180,933,7,926,93,833
Berne,2596,37,2559,471,2088,3167,37,3130,519,2611,288,13,275,77,198,2356,20,2336,389,1947,523,4,519,53,466
Fribourg,525,9,516,123,393,690,12,678,138,540,91,0,91,37,54,472,9,463,86,377,127,3,124,15,109
Soleure,679,3,676,115,561,877,3,874,120,754,60,1,59,13,46,651,2,649,97,552,166,0,166,10,156
Neuchâtel,296,5,291,59,232,385,6,379,67,312,50,1,49,12,37,249,5,244,44,200,86,0,86,11,75
Jura,147,4,143,39,104,187,4,183,42,141,20,0,20,10,10,136,4,132,28,104,31,0,31,4,27
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,1988,39,1949,448,1501,2465,40,2425,471,1954,246,16,230,73,157,1825,21,1804,361,1443,394,3,391,37,354
Bâle-Ville,256,5,251,77,174,307,5,302,81,221,64,1,63,27,36,187,3,184,51,133,56,1,55,3,52
Bâle-Campagne,482,14,468,89,379,600,14,586,96,490,74,4,70,17,53,433,8,425,71,354,93,2,91,8,83
Argovie,1250,20,1230,282,948,1558,21,1537,294,1243,108,11,97,29,68,1205,10,1195,239,956,245,0,245,26,219
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,2940,37,2903,577,2326,3427,38,3389,617,2772,474,9,465,130,335,2386,26,2360,430,1930,567,3,564,57,507
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2701,53,2648,480,2168,3420,54,3366,522,2844,313,11,302,79,223,2485,39,2446,392,2054,622,4,618,51,567
Glaris,81,2,79,17,62,113,2,111,24,87,7,0,7,2,5,74,2,72,15,57,32,0,32,7,25
Schaffhouse,168,4,164,38,126,192,4,188,38,150,31,0,31,8,23,138,4,134,29,105,23,0,23,1,22
Appenzell Rh.-Ext.,106,3,103,15,88,122,3,119,16,103,8,1,7,2,5,100,2,98,13,85,14,0,14,1,13
Appenzell Rh.-Int.,20,0,20,4,16,24,0,24,5,19,1,0,1,0,1,19,0,19,4,15,4,0,4,1,3
Saint-Gall,1210,16,1194,257,937,1513,16,1497,272,1225,162,6,156,45,111,1096,9,1087,204,883,255,1,254,23,231
Grisons,500,17,483,67,416,664,18,646,78,568,52,2,50,11,39,463,13,450,57,393,149,3,146,10,136
Thurgovie,616,11,605,82,523,792,11,781,89,692,52,2,50,11,39,595,9,586,70,516,145,0,145,8,137
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,1890,35,1855,386,1469,2391,35,2356,425,1931,207,7,200,59,141,1793,24,1769,322,1447,391,4,387,44,343
Lucerne,1031,11,1020,197,823,1350,11,1339,217,1122,110,2,108,33,75,993,7,986,155,831,247,2,245,29,216
Uri,106,9,97,29,68,125,9,116,30,86,9,1,8,1,7,103,7,96,25,71,13,1,12,4,8
Schwytz,315,8,307,60,247,382,8,374,66,308,39,2,37,9,28,286,5,281,52,229,57,1,56,5,51
Obwald,80,1,79,14,65,96,1,95,15,80,12,0,12,2,10,75,1,74,13,61,9,0,9,0,9
Nidwald,79,2,77,16,61,88,2,86,17,69,7,1,6,1,5,70,1,69,16,53,11,0,11,0,11
Zoug,279,4,275,70,205,350,4,346,80,266,30,1,29,13,16,266,3,263,61,202,54,0,54,6,48
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,1050,16,1034,271,763,1306,16,1290,290,1000,118,4,114,41,73,981,11,970,223,747,207,1,206,26,180
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,18990,312,18678,4110,14568,23562,320,23242,4437,18805,2447,69,2378,687,1691,17111,216,16895,3278,13617,4004,35,3969,472,3497
